content,value
"- ¿Nivel de inglés? - Alto. - Traduzca juguete. - Toy. - Úselo en una oración. - Toy triste. - Awww, vengache pa' acá. -",NEU
"Si soy de área 4 y con suerte pase mate IV y mate V ¿por que me ponen al profe qlero que es mega difícil pasar con el, en mi último año?",N
Sabían que su after fav Teatro G. fue construido para mi y un día de estos (hoy) les voy a dar el placer de que me vean ahí metido !!,P
"Y hoy por primera vez me salí con el permiso de mi mujer pero no es eso el detalle, si no saber q estarán a mi lado y q llegaré a casa",P
"¿Para qué hacen coraje con Ambriz?, al final no lo van a correr y saldrá con su típica frase: ""La culpa es mía, no de los jugadores""",N
- Yo Mamá por qué nunca en dejaste disfrutar mi juventud? Ya tengo 30 - Mamá Felipe llegabas borracho a los 17 años - Yo Ayñ mamá!!,N
Eso de no poder dormir y despertar en la madrugada se está volviendo muy recurrente y no está padre!! >.; yo no era así.,N
"Lejos, lejos, muy lejos...manejar hasta acá esta padre! Algo diferente q mal q ya no está la feria del caballo pq si no, me quedaba jaja!",NEU
"Y fue como ""¿Viste cuantos akatsukis salen?"", ""¿Y Gaara?"", ""¿Y el imbécil de Sasuke?"". Fue como el TODO ese primer episiodio",N
"Mi vida es un eterno dilema entre ""mejor me duermo y mañana termino"" e ""'ingue su, me vo'a desvelar hasta morir y lo acabo de una vez"".",N
"Iba a ir a dash pero mis 3 cortadas, mi color de piel (color langosta) y mis 5 horas de sueño en 2 días, no me lo permitieron.",N
"¿Cómo que no voy a ver a Sputnik, tampoco me voy a ir a aguascalientes, los Rebel ya tocaron y a Little va mi ex? Y los boletos de la WWE",N
"Buen dia! Elige q cada uno de tus dias sea un milagro! que su dia este lleno de armonia, luz, amor y buenas vibras! Yo elijo ser feliz!",P
"21 medallas de oro de Phelps, eso que?, La seleccion mexicana de fut ganaron 23 hace 4 años! Ah QUEEE??? Nadamás vale por una? Avisenme!",N
"-El de los tacos me dijo: "" Y la güera, joven? "" -Le dije que ya eras piña de otro taco, que ya otra salsa te enchilaba la carne.",N
"Traigo desde hace 2 horas una pinche basurita en el ojo y nomás no se me quita. Ya me fuí a lavar, ya me soplaron, ya todo y ahí sigue.",N
"Personas que dicen que el 29 de julio sera el fin, lo que no saben es que se acercan dos fin, el fin del mes y el fin de semana Buen día",NEU
